Technology,Tissue,Gene 1,Distribution,Gene 2,Distribution,Gene 3,Distribution,Gene 4,Distribution,Gene 5,Distribution,Gene 6,Distribution
10xVisium,DLPFC_151507,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151508,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151509,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151510,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151669,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151670,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151671,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151672,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151673,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151674,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151675,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,DLPFC_151676,SNAP25,random,MOBP,spatial,PCP4,spatial,,,,,,
10xVisium,Human_IPMN_LG_1,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_2,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_3,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_4,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_5,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_6,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_LG_7,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_HG_1,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_HG_2,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_HG_3,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_PDAC_1,MUC1,spatial,MUC5AC,spatial,TERT,random,,,,,,
10xVisium,Human_IPMN_PDAC_2,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Human_IPMN_PDAC_3,MUC1,spatial,MUC5AC,spatial,TP53,random,,,,,,
10xVisium,Mouse_IPMN_15wksDox,Muc1,spatial,Muc5ac,spatial,Tert,random,,,,,,
10xVisium,Mouse_IPMN_25wksDox,Muc1,spatial,Muc5ac,spatial,Tert,random,,,,,,
10xVisium,Human_BCRA_CytAs,BRCA1,random,BRCA2,random,LSP1,spatial,CDH1,spatial,,,,
10xVisium,Human_BCRA_FFPE,BRCA1,random,BRCA2,random,LSP1,spatial,CDH1,spatial,,,,
10xVisium,Human_BCRA_VisiumFreshWT,BRCA1,random,BRCA2,random,LSP1,spatial,CDH1,spatial,,,,
10xVisium,Human_BCRA_WTA,BRCA1,random,BRCA2,random,LSP1,spatial,CDH1,spatial,,,,
10xVisium,Human_CESC_FFPE,MED1,random,ERBB3,random,CASP8,random,TGFBR2,random,,,,
10xVisium,Human_COAD_11mmFFPE,EPCAM,spatial,LGALS4,spatial,PARP6,random,CDKN2D,random,,,,
10xVisium,Human_COAD_CytAs,EPCAM,spatial,LGALS4,spatial,PARP6,random,CDKN2D,random,,,,
10xVisium,Human_COAD_Intestine,EPCAM,spatial,LGALS4,spatial,PARP6,random,CDKN2D,random,,,,
10xVisium,Human_COAD_WTA,EPCAM,spatial,LGALS4,spatial,PARP6,random,CDKN2D,random,,,,
10xVisium,Human_GBM_WTA,IDH1,random,TP53,random,MGMT,random,,,,,,
Merfish,MouseIleum,Acta2,spatial,H2-Eb1,random,Mptx2,spatial,Sdc1,random,,,,
Merfish,HumanMTG_H18_250_1,DIRAS2,spatial,SPOCK1,random,MALAT1,random,,,,,,
Merfish,HumanMTG_H18_4000_1,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanMTG_H18_4000_2,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanMTG_H18_4000_3,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanMTG_H22_250_1,DIRAS2,spatial,SPOCK1,random,MALAT1,random,,,,,,
Merfish,HumanMTG_H22_4000_1,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanMTG_H22_4000_2,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanSTG_H19_250_1,DIRAS2,spatial,SPOCK1,random,MALAT1,random,,,,,,
Merfish,HumanSTG_H19_4000_1,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanSTG_H19_4000_2,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanSTG_H20_250_1,DIRAS2,spatial,SPOCK1,random,MALAT1,random,,,,,,
Merfish,HumanSTG_H20_250_2,DIRAS2,spatial,SPOCK1,random,MALAT1,random,,,,,,
Merfish,HumanSTG_H20_4000_1,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanSTG_H20_4000_2,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Merfish,HumanSTG_H20_4000_3,MBP,spatial,DIRAS2,spatial,RORB,spatial,,,,,,
Slide-seq,Cerebellum_180430_1,Prkci,spatial,Prkcd,spatial,Hspb1,spatial,H2-D1,random,Cops7a,random,Kmt2c,random
Slide-seq,Mouse_Testis_WT_1,Odf1,spatial,mt-Nd1,spatial,Spata18,spatial,,,,,,
Slide-seq,Mouse_Testis_WT_2,Odf1,spatial,mt-Nd1,spatial,Spata18,spatial,,,,,,
Slide-seq,Mouse_Testis_WT_3,Odf1,spatial,mt-Nd1,spatial,Spata18,spatial,,,,,,
Slide-seq,Mouse_Testis_Diabetes_1,Odf1,spatial,mt-Nd1,spatial,Spata18,spatial,,,,,,
Slide-seq,Mouse_Testis_Diabetes_2,Odf1,spatial,mt-Nd1,spatial,Spata18,spatial,,,,,,
Slide-seq,Mouse_Testis_Diabetes_3,Odf1,spatial,mt-Nd1,spatial,Spata18,spatial,,,,,,
Slide-seq,Human_Testis_Puck5,GSG1,spatial,MALAT1,spatial,MT-ATP6,spatial,,,,,,
Slide-seq,Human_Testis_Puck6,GSG1,spatial,MALAT1,spatial,MT-ATP6,spatial,,,,,,
seqFISH,MouseEmbryo,Ttn,spatial,Bambi,random,Notch1,random,,,,,,
Slide-Tag,Human_Cortex,LINC00507,spatial,SNAP25,random,SYN1,random,,,,,,
Slide-Tag,Human_Melanoma,BRAF,random,MITF,random,SF3B1,random,,,,,,
Slide-Tag,Human_Tonsil,IL4R,random,CXCR5,random,TCL1A,spatial,,,,,,
NanoString_CosMx,Human_NSCLC_5_1,MET,random,NTRK2,random,ERBB2,random,KRAS,random,,,,
NanoString_CosMx,Human_NSCLC_5_2,MET,random,NTRK2,random,ERBB2,random,KRAS,random,,,,
NanoString_CosMx,Human_NSCLC_5_3,MET,random,NTRK2,random,ERBB2,random,KRAS,random,,,,
NanoString_CosMx,Human_NSCLC_6,MET,random,NTRK2,random,ERBB2,random,KRAS,random,,,,
NanoString_CosMx,Human_NSCLC_9_1,MET,random,NTRK2,random,ERBB2,random,KRAS,random,,,,
NanoString_CosMx,Human_NSCLC_9_2,MET,random,NTRK2,random,ERBB2,random,KRAS,random,,,,
NanoString_CosMx,Human_NSCLC_12,MET,random,NTRK2,random,ERBB2,random,KRAS,random,,,,
NanoString_CosMx,Human_NSCLC_13,MET,random,NTRK2,random,ERBB2,random,KRAS,random,,,,
10x_Xenium,Human_Brain,ENC1,random,NRN1,random,LAMP5,spatial,,,,,,
10x_Xenium,Human_Breast_1,ABCC11,spatial,CEACAM6,spatial,ERBB2,random,,,,,,
10x_Xenium,Human_Breast_2,ABCC11,spatial,CTLA4,spatial,ERBB2,random,,,,,,
10x_Xenium,Human_LUAD,FBLN1,spatial,GPX2,spatial,GPC3,random,,,,,,
10x_Xenium,Human_Skin,S100B,random,PMEL,random,SLPI,spatial,,,,,,
10x_Xenium,Mouse_Brain,Opalin,spatial,Myl4,spatial,Bhlhe22,random,,,,,,
Slide-seqV2,Mouse_Cerebellum,Sst,random,Olig2,random,Pcp4,spatial,,,,,,
Slide-seqV2,Mouse_Hippocampus,Ptk2b,spatial,Pantr1,spatial,Slc7a10,random,,,,,,
10x_Xenium_Prime,Human_Prostate,SOX2-OT,random,SYNM,random,EMP1,random,,,,,,
10x_Xenium_Prime,Human_Skin_P,SOX2-OT,spatial,HOXB7,spatial,PLVAP,random,,,,,,
seqFISH+,Mouse_Olf_Bulb,Dlx1,random,Eng,spatial,Slc17a7,spatial,,,,,,
seqFISH+,Mouse_SVZ,Ascl1,random,Dlx1,random,Gja1,random,,,,,,
Open-ST,Mouse_Embryo_1,Atoh7,spatial,Col2a1,spatial,Hbb-y,random,,,,,,
Open-ST,Mouse_Embryo_2,Foxg1,spatial,Col2a1,spatial,Hbb-y,random,,,,,,
Open-ST,Human_HNSCC,ANXA1,random,COL1A1,spatial,RRM2,random,,,,,,
Open-ST,Human_MLN_2,S100A11,random,COL1A1,spatial,CD3D,spatial,TIMP1,random,,,,
Open-ST,Human_MLN_3,S100A11,random,COL1A1,spatial,CD3D,spatial,TIMP1,spatial,,,,
Open-ST,Human_MLN_4,S100A11,spatial,COL1A1,spatial,CD3D,spatial,TIMP1,random,,,,
Open-ST,Human_MLN_5,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_6,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_7,S100A11,random,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_9,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_11,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_18,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_19,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_23,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_24,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_25,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_28,S100A11,random,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_33,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Open-ST,Human_MLN_34,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,random,,,,
Open-ST,Human_MLN_36,S100A11,spatial,COL1A1,spatial,CD3D,random,TIMP1,spatial,,,,
Stereo-seq,Mouse_Brain_S,Penk,spatial,Mbp,spatial,mt-Co1,random,,,,,,
Stereo-seq,Mouse_Ovary,Inha,spatial,Ovgp1,spatial,Eef1a1,random,,,,,,
Stereo-seq,Mouse_Testis,Tnp1,spatial,Prm2,spatial,mt-Co1,random,,,,,,
Stereo-seq,Mouse_Tongue,Krt13,spatial,Tnnt3,random,Myh4,random,,,,,,
Stereo-seq,Mouse_Lung,Malat1,random,Scgb1a1,spatial,Calcrl,random,,,,,,
Stereo-seq,Mouse_Kidney,Kap,spatial,Fth1,random,Umod,spatial,,,,,,